classification,ident,name,qname
legislature,03a54cf9-1050-4676-9097-e0cc54f36bb4,参議院,Q548911
legislature,a1be0473-97fb-4374-8ec1-5979e28df539,衆議院,Q659587
party,party/ldp,自由民主党,Q232595
party,party/ind,Independent,Q327591
party,party/minor,諸派,Q354239
party,party/jcp,日本共産党,Q641600
party,party/sdp,社会民主党,Q835109
party,party/km,公明党,Q1061354
party,party/nspj,新社会党,Q1164105
party,party/npd,新党大地,Q1247614
party,party/hrp,幸福実現党,Q1571486
party,party/lp,自由党,Q2164308
party,party/pjk,日本のこころ,Q17488856
party,party/nps,支持政党なし,Q18640900
party,party/io,日本維新の会,Q21499745
party,party/dp,民進党,Q23055252
party,party/ph,希望の党,Q41040535
party,party/cdpj,立憲民主党,Q41532587
party,party/wp,労働の解放をめざす労働者党,Q41769465
